Año,Total,Media,Máxima Mensual,Mínima Mensual,Variación (%)
2006,8165227.9000000395,423.577974560095,713.9,0.1,
2007,6227521.000000076,323.05782080013677,333.6,0.1,-23.731204122299555
2008,6085316.299999952,315.68083395584085,378.7,0.1,-2.2834880845865047
2009,6206741.899999924,321.9798877406999,577.3,0.1,1.995386829768786
2010,4857139.200000007,251.96812749004016,328.3,0.1,-21.74414083498355
2011,5846122.200000124,303.2724414840702,470.7,0.1,20.36143003684383
2012,5915863.599999973,306.8903344953505,376.7,0.1,1.1929514576319855
2013,7085104.19999989,367.545661105572,429.8,0.1,19.76449558437965
2014,6838310.000000001,354.74300713811425,374.3,0.1,-3.4832825747275975
2015,6072701.100000056,315.0264099850627,290.2,0.2,-11.195878806312443
2016,7427567.399999948,385.311223854579,413.8,0.1,22.310768761529843
2017,5976274.600000101,310.02420526228946,280.6,0.1,-19.53927472943372
2018,6815171.900000056,353.54269899568686,458.6,0.1,14.037127745099621
2019,7048379.700000091,365.64054718625977,591.4,0.1,3.4218916767166707
2020,6701674.799999901,347.6549427290785,391.6,0.1,-4.918930516756726
2021,5946807.999999935,308.4956009296115,372.8,0.1,-11.263853029693072
2022,8546745.599999996,443.36952191235036,719.7,0.1,43.71988468435654
2023,4763667.499999873,247.11920546978095,324.4,0.1,-44.26337552389678
2024,5624221.599999977,291.76116367861766,280.4,0.1,18.064948907540824
2025,5675881.299999928,294.4410534943522,319.9,0.1,0.9185217737500029
2026,6537947.800000025,339.16146870850065,429.3,0.1,15.188240458800784
2027,8391139.600000136,435.2973315073112,395.4,0.1,28.345160541050873
2028,5315384.399999936,275.7399775896381,386.0,0.1,-36.654797162475404
2029,5652405.200000027,293.22321132138256,516.9,0.1,6.340478404536376
2030,7484074.400000045,388.2425713811444,430.7,0.1,32.40512905904214
2031,7411468.299999922,384.47606967961076,426.8,0.1,-0.9701413444008877
2032,7667633.400000076,397.7648468625537,520.9,0.1,3.4563340168392465
2033,7095190.499999872,368.068896289834,430.4,0.1,-7.4657051287845615
2034,5588595.599999939,289.9130353585626,292.9,0.1,-21.234030291363716
2035,5698441.200000025,295.61136703187384,307.7,0.1,1.9655313760775117
2036,6561419.59999993,340.37908781540136,665.4,0.1,15.144113446321095
2037,6460972.600000045,335.1683163180634,361.8,0.1,-1.5308729836434387
2038,5828001.199999988,302.3323995683925,371.3,0.1,-9.796843899323338
2039,7885272.199999973,409.05504025564267,638.2,0.1,35.299769670603176
2040,6507192.599999961,337.5660171812729,461.7,0.1,-17.476626869013046
2041,4913523.599999801,254.89311503983032,245.7,0.1,-24.490884133353752
2042,6057796.89999999,314.2532422393753,324.5,0.1,23.288242677825654
2043,6679465.699999895,346.5028272327303,312.6,0.1,10.262291890305963
2044,5688048.900000071,295.0722578436292,304.0,0.1,-14.842756060560946
2045,5850079.300000017,303.4777193310101,364.0,0.1,2.8486112346879366
2046,6384137.800000055,331.18244729415954,340.6,0.1,9.129081378435956
2047,6349850.899999939,329.4037858980712,579.8,0.1,-0.5370639086160645
2048,6025120.800000101,312.55814243028414,275.6,0.1,-5.11397992037641
2049,6779512.600000025,351.6928432104927,646.4,0.1,12.520774687204783
2050,6135496.800000107,318.2839890438303,359.8,0.1,-9.499441007011555
2051,5654024.600000039,293.30721904050665,233.7,0.1,-7.847322159797388
2052,5022774.200000084,260.56058059429387,421.0,0.1,-11.16462068452887
2053,6265621.099999944,325.03429511121885,450.9,0.1,24.744231982394084
2054,7561890.899999977,392.2793669073693,473.3,0.1,20.68860818921918
2055,5772678.499999973,299.462488587316,339.2,0.1,-23.660912642894772
2056,7657859.400000045,397.25781250000233,379.5,0.1,32.65695292055639
2057,7029989.800000113,364.6865558598996,322.2,0.1,-8.199022301192006
2058,5505130.799999902,285.5832295816682,397.4,0.1,-21.690771158731792
2059,4851436.699999898,251.6723055693838,300.2,0.1,-11.874270090004323
2060,5021673.299999929,260.5034704930242,225.9,0.1,3.5089935317518473
2061,5297073.999999965,274.7901103917644,271.6,0.1,5.484241676973278
2062,5499614.200000014,285.2970513778228,408.4,0.1,3.8236241366469637
2063,6118331.199999812,317.393509296139,582.6,0.1,11.250189149627921
2064,5128852.199999947,266.0634648904355,339.5,0.1,-16.172367393250887
2065,5646922.100000019,292.9387709578363,506.8,0.1,10.101088504755062
2066,6021765.700000032,312.38409383300296,409.9,0.1,6.638016132717883
2067,7278086.299999953,377.5567677207811,582.9,0.1,20.86299372291942
2068,5607528.100000114,290.8951745102981,593.1,0.1,-22.953261766075094
2069,5132770.599999962,266.2667351427603,374.1,0.1,-8.46643104650946
2070,6536859.499999852,339.1050122426882,357.9,0.1,27.355379957949033
2071,7390122.199999954,383.36872302456595,507.9,0.1,13.053098357095184
2072,4990308.999999927,258.87642139773857,435.0,0.1,-32.473254637116035
2073,5601008.300000003,290.5569544737717,278.1,0.1,12.237705120065389
2074,5994029.900000107,310.9452761869245,381.7,0.1,7.016979424938619
2075,5853576.299999886,303.6591291085598,330.1,0.1,-2.3432248811474543
2076,4046508.000000021,209.91596115537956,176.3,0.1,-30.87118382654208
2077,5680623.599999989,294.68706424302735,298.5,0.1,40.3833527574877
2078,6734339.699999915,349.3494615288801,388.8,0.1,18.549303284236764
2079,3662505.600000033,189.99551792828856,294.5,0.1,-45.61448095646141
2080,6147967.9000000935,318.9309377075082,410.2,0.1,67.86234811490903
2081,7977222.499999863,413.82503838810715,504.8,0.1,29.75380857144263
2082,5061784.100000001,262.5842515355246,331.7,0.1,-36.54703626481414
2083,7581147.999999936,393.27834495351595,452.4,0.1,49.77225125030391
2084,5272804.5000000065,273.53110993525934,432.5,0.1,-30.448469018148028
2085,5900302.799999912,306.0831050796767,470.8,0.1,11.900655524017711
2086,4731255.1999999685,245.43779050464644,346.1,0.1,-19.813349240312906
2087,4469298.299999946,231.84855888943943,331.8,0.1,-5.536731563328578
2088,4689127.800000023,243.2523966633478,200.3,0.1,4.918658036320367
2089,6274669.99999998,325.50371430942795,297.3,0.1,33.81315817410542
2090,6002565.9000000665,311.38808827191576,383.5,0.1,-4.336548376247906
2091,5046129.099999976,261.77213541666544,286.3,0.1,-15.93379924408792
2092,7926120.200000153,411.1740641600345,468.5,0.1,57.07327424500872
2093,5250421.9000000395,272.3699939824058,353.1,0.1,-33.757982877928875
2094,5213850.799999944,270.4728378154021,436.9,0.1,-0.6965364059618784
2095,5535063.599999909,287.1360184262901,354.6,0.1,6.160759337416577
2096,3930914.500000013,203.91945239873905,180.0,0.1,-28.98158387917932
2097,3964817.7999999756,205.67821422642635,194.2,0.1,0.8624786929342321
2098,4615414.499999981,239.4284580428277,247.9,0.1,16.409245842268216
2099,6218403.000000084,322.58481698207606,316.6,0.1,34.73119261553017
2100,6059878.599999965,314.36123215471264,352.1,0.1,-2.5492783275724684
